,authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
0,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.70333091,2017-06-25 15:33:07,1.0,16,37
1,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-7,-0.73312848,2017-07-15 12:10:45,1.0,16,16
2,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-6,-0.720386,2017-08-09 22:04:29,1.0,16,37
3,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-5,-0.73535241,2017-09-02 10:06:26,1.0,16,34
4,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-11,-0.72286538,2017-03-10 01:14:19,1.0,16,37
5,Y,C_ID_4e6213e9bc,333,N,0,A,80,M_ID_50af771f8d,0,-0.73488659,2018-02-24 08:45:05,1.0,9,37
6,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-11,-0.71685477,2017-03-21 00:10:51,1.0,16,37
7,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-3,-0.65704925,2017-11-18 20:05:55,1.0,16,37
8,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-8,-0.73796702,2017-06-01 22:02:56,1.0,16,37
9,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_74ba14b5fc,-11,-0.71535212,2017-03-16 15:41:22,1.0,16,37
10,Y,C_ID_4e6213e9bc,88,N,0,A,683,M_ID_1449f22bfb,-9,-0.73413526,2017-05-09 12:42:07,1.0,16,34
11,Y,C_ID_4e6213e9bc,-1,N,0,A,560,M_ID_7c5e93af2f,0,-0.72792931,2018-02-08 20:05:45,,-1,34
12,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.74164852,2017-06-08 18:02:29,1.0,16,37
13,Y,C_ID_4e6213e9bc,88,N,0,A,130,M_ID_e8fb39882d,-7,-0.72737333,2017-07-14 12:59:38,1.0,16,41
14,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_97e86eae5f,-4,-0.73188128,2017-10-24 13:29:29,1.0,16,37
15,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-8,-0.73819242,2017-06-14 07:40:48,1.0,16,34
16,Y,C_ID_4e6213e9bc,69,N,0,A,879,M_ID_00a6ca8a8a,0,-0.72587068,2018-02-07 12:19:33,1.0,9,29
17,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-7,-0.73488659,2017-07-07 13:03:27,1.0,16,37
18,Y,C_ID_4e6213e9bc,233,N,0,A,80,M_ID_4524a562f3,-1,-0.69972455,2018-01-08 23:54:29,1.0,9,37
19,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-6,-0.74540514,2017-08-11 17:53:00,1.0,16,37
20,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-30 12:53:57,1.0,16,37
21,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-7,-0.73796702,2017-07-01 21:27:23,1.0,16,37
22,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-7,-0.7395448,2017-07-14 22:06:02,1.0,16,37
23,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-9,-0.72699767,2017-05-06 12:29:50,1.0,16,37
24,Y,C_ID_4e6213e9bc,3,N,0,A,511,M_ID_79db784180,-13,-0.73188128,2017-01-20 09:16:43,1.0,16,7
25,Y,C_ID_4e6213e9bc,333,N,0,A,80,M_ID_50af771f8d,0,-0.73563791,2018-02-26 14:54:38,1.0,9,37
26,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-10,-0.72647174,2017-04-29 12:30:03,1.0,16,37
27,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-8,-0.72677227,2017-06-23 21:43:17,1.0,16,37
28,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-11,-0.72136273,2017-03-10 15:46:19,1.0,16,37
29,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_dc7356f06d,-6,-0.69221129,2017-08-05 19:10:32,1.0,16,37
30,Y,C_ID_4e6213e9bc,-1,N,0,A,80,M_ID_98b342c0e3,0,-0.72436803,2018-02-27 09:04:48,,-1,37
31,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-6,-0.73789189,2017-08-24 17:53:44,1.0,16,37
32,Y,C_ID_4e6213e9bc,88,N,0,A,842,M_ID_980d5f51ae,-5,-0.7072378,2017-09-25 00:23:21,1.0,16,37
33,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-5,-0.73488659,2017-09-05 15:55:25,1.0,16,37
34,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-07 12:57:54,1.0,16,37
35,Y,C_ID_4e6213e9bc,69,N,0,A,561,M_ID_50f575c681,-5,-0.72737333,2017-09-16 15:19:37,1.0,9,7
36,Y,C_ID_4e6213e9bc,88,N,0,A,705,M_ID_28a12189ea,-4,-0.73792194,2017-10-20 14:08:25,1.0,16,33
37,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-5,-0.69446527,2017-09-09 23:13:28,1.0,16,37
38,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-6,-0.72632147,2017-08-25 21:13:12,1.0,16,37
39,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74014587,2017-10-19 19:53:21,1.0,16,37
40,Y,C_ID_4e6213e9bc,3,N,0,A,80,M_ID_9d41786a50,-10,-0.73563791,2017-04-14 20:40:43,1.0,16,37
41,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-7,-0.72737333,2017-07-13 12:55:44,1.0,16,37
42,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-9,-0.73554775,2017-05-09 08:31:54,1.0,16,34
43,Y,C_ID_4e6213e9bc,-1,N,0,A,278,,0,-0.71915383,2018-02-24 10:52:32,,-1,37
44,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74014587,2017-10-30 00:00:00,1.0,16,37
45,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_979ed661fc,-5,-0.73413526,2017-09-22 01:29:13,1.0,16,37
46,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-4,-0.7275236,2017-10-07 00:00:00,1.0,16,37
47,Y,C_ID_4e6213e9bc,88,N,0,A,683,M_ID_1449f22bfb,-6,-0.72812466,2017-08-22 12:49:53,1.0,16,34
48,Y,C_ID_4e6213e9bc,88,N,0,A,130,M_ID_e8fb39882d,-6,-0.72624634,2017-08-29 12:52:46,1.0,16,41
49,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_c2a7f2dccf,-5,-0.72624634,2017-09-15 15:38:25,1.0,16,37
50,Y,C_ID_4e6213e9bc,88,N,0,A,705,M_ID_001d92b649,-5,-0.7347814,2017-09-17 22:32:43,1.0,16,33
51,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-8,-0.73270774,2017-06-11 13:11:52,1.0,16,16
52,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-11,-0.73188128,2017-03-14 15:58:09,1.0,16,37
53,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-5,-0.74352683,2017-09-05 20:44:45,1.0,16,37
54,Y,C_ID_4e6213e9bc,333,N,0,A,367,M_ID_8402682d1b,0,-0.70242932,2018-02-23 12:07:51,1.0,9,16
55,Y,C_ID_4e6213e9bc,3,N,0,A,332,M_ID_13aa6b335f,-13,-0.6852991,2017-01-20 10:12:39,1.0,16,2
56,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-10,-0.73789189,2017-04-07 17:51:45,1.0,16,37
57,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e020e9b302,-12,-0.73037863,2017-02-14 12:54:39,1.0,16,37
58,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-6,-0.73345907,2017-08-09 06:57:53,1.0,16,34
59,Y,C_ID_4e6213e9bc,69,N,0,A,879,M_ID_00a6ca8a8a,0,-0.72286538,2018-02-09 12:18:56,1.0,9,29
60,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-9,-0.73864321,2017-05-23 15:54:02,1.0,16,37
61,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-4,-0.72152802,2017-10-01 14:36:11,1.0,16,16
62,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_97e86eae5f,-4,-0.73188128,2017-10-26 13:29:27,1.0,16,37
63,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74164852,2017-10-05 18:56:32,1.0,16,37
64,Y,C_ID_4e6213e9bc,333,N,0,A,80,M_ID_50af771f8d,0,-0.74540514,2018-02-15 17:08:31,1.0,9,37
65,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-11,-0.74119772,2017-03-08 10:15:47,1.0,16,37
66,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-6,-0.73222689,2017-08-31 22:33:39,1.0,16,16
67,Y,C_ID_4e6213e9bc,88,N,0,A,705,M_ID_28a12189ea,-5,-0.74139307,2017-09-29 15:09:19,1.0,16,33
68,Y,C_ID_4e6213e9bc,88,N,0,A,111,M_ID_83367527c8,-11,-0.70197853,2017-03-03 23:54:45,1.0,16,36
69,Y,C_ID_4e6213e9bc,88,N,0,A,705,M_ID_001d92b649,-11,-0.70726786,2017-03-12 20:11:50,1.0,16,33
70,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.73789189,2017-06-13 17:55:53,1.0,16,37
71,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-8,-0.74164852,2017-06-20 17:46:35,1.0,16,37
72,Y,C_ID_4e6213e9bc,333,N,0,A,528,M_ID_89c56116e9,0,-0.72587068,2018-02-18 14:15:17,1.0,9,25
73,Y,C_ID_4e6213e9bc,88,N,0,A,111,M_ID_83367527c8,-9,-0.65689899,2017-05-13 12:01:29,1.0,16,36
74,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-5,-0.74014587,2017-09-22 20:47:15,1.0,16,37
75,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-4,-0.74014587,2017-10-20 19:54:46,1.0,16,37
76,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-09 13:02:45,1.0,16,37
77,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_dc7356f06d,-5,-0.7169299,2017-09-08 00:22:15,1.0,16,37
78,Y,C_ID_4e6213e9bc,88,N,0,A,367,M_ID_86ec983688,-8,-0.74016089,2017-06-13 22:02:08,1.0,16,16
79,Y,C_ID_4e6213e9bc,88,N,0,A,130,M_ID_e8fb39882d,-4,-0.72587068,2017-10-16 14:51:03,1.0,16,41
80,Y,C_ID_4e6213e9bc,-1,N,0,A,80,M_ID_98b342c0e3,0,-0.72436803,2018-02-23 09:20:59,,-1,37
81,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-5,-0.73810226,2017-09-23 10:22:22,1.0,16,34
82,Y,C_ID_4e6213e9bc,-1,N,0,A,278,,0,-0.71317328,2018-02-25 12:07:37,,-1,37
83,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-9,-0.73451092,2017-05-08 17:48:00,1.0,16,37
84,Y,C_ID_4e6213e9bc,3,N,0,A,511,M_ID_79db784180,-10,-0.71986007,2017-04-13 10:55:22,1.0,16,7
85,Y,C_ID_4e6213e9bc,88,N,0,A,683,M_ID_1449f22bfb,-4,-0.73413526,2017-10-17 14:27:51,1.0,16,34
86,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e68ba142de,-2,-0.73789189,2017-12-14 11:21:42,1.0,16,37
87,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-7,-0.74239984,2017-07-05 07:16:30,1.0,16,37
88,Y,C_ID_4e6213e9bc,-1,N,0,A,437,M_ID_e8062abeef,0,-0.63792051,2018-02-06 08:19:03,,-1,15
89,Y,C_ID_4e6213e9bc,88,N,0,A,683,M_ID_1449f22bfb,-9,-0.73413526,2017-05-11 12:17:21,1.0,16,34
90,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-5,-0.72887598,2017-09-13 20:50:01,1.0,16,37
91,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_e2aed68eba,-9,-0.70994258,2017-05-07 13:08:46,1.0,16,37
92,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-11,-0.7434517,2017-03-28 11:25:30,1.0,16,37
93,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_c2a7f2dccf,-5,-0.72436803,2017-09-29 15:02:15,1.0,16,37
94,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_5e8220e564,-10,-0.7275236,2017-04-28 13:11:16,1.0,16,37
95,Y,C_ID_4e6213e9bc,333,N,0,A,278,M_ID_7329fe90b9,0,-0.70801918,2018-02-04 13:43:21,1.0,9,37
96,Y,C_ID_4e6213e9bc,88,N,0,A,560,M_ID_e6d5ae8ea6,-6,-0.73853803,2017-08-11 10:40:29,1.0,16,34
97,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-6,-0.73488659,2017-08-11 13:02:59,1.0,16,37
98,Y,C_ID_4e6213e9bc,88,N,0,A,80,M_ID_e020e9b302,-6,-0.73789189,2017-08-04 15:48:28,1.0,16,37
99,Y,C_ID_4e6213e9bc,88,N,0,A,278,M_ID_21e1552dab,-11,-0.73413526,2017-03-15 15:53:29,1.0,16,37
