merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_838061e48c,8353,792,9,-0.05747065,-0.05747065,N,E,E,-0.40000000,9.66666667,3,-2.25000000,18.66666667,6,-2.32000000,13.91666667,12,N,242,9,1.00000000
M_ID_9339d880ad,3184,840,20,-0.05747065,-0.05747065,N,E,E,-0.72000000,1.75000000,3,-0.74000000,1.29166667,6,-0.57000000,1.68750000,12,N,22,16,1.00000000
M_ID_e726bbae1e,447,690,1,-0.05747065,-0.05747065,N,E,E,-82.13000000,260.00000000,2,-82.13000000,260.00000000,2,-82.13000000,260.00000000,2,N,-1,5,5.00000000
M_ID_a70e9c5f81,5026,792,9,-0.05747065,-0.05747065,Y,E,E,,1.66666667,3,,4.66666667,6,,3.83333333,12,Y,-1,-1,
M_ID_64456c37ce,2228,222,21,-0.05747065,-0.05747065,Y,E,E,,0.50000000,3,,0.36111111,6,,0.34722222,12,Y,-1,-1,
M_ID_a0915f62b5,20201,87,27,-0.05747065,-0.05747065,N,E,E,,1.00000000,3,,3.66666667,6,,3.83333333,12,Y,160,21,5.00000000
M_ID_bfd41933db,33861,792,9,-0.05747065,-0.05747065,N,E,E,,2.83333333,3,,4.83333333,6,,6.33333333,12,N,60,16,1.00000000
M_ID_d8ff08219e,16430,529,20,-0.05747065,-0.05747065,Y,E,E,,1.00000000,3,,1.66666667,6,,1.50000000,11,Y,-1,-1,
M_ID_c5b389236d,37179,813,29,-0.05747065,-0.05747065,N,E,E,,115.00000000,3,,189.91666667,6,,197.00000000,7,N,248,15,1.00000000
M_ID_d2162ed113,112122,81,29,-0.05747065,-0.05747065,Y,E,E,,1.00000000,2,,1.00000000,2,,1.00000000,2,Y,-1,-1,
M_ID_492cfa500c,13462,369,27,-0.05747065,-0.05747065,N,E,E,,inf,3,,inf,6,,inf,12,N,-1,9,1.00000000
M_ID_73487fed26,17123,427,27,-0.05747065,-0.05747065,Y,E,E,,inf,3,,inf,6,,inf,12,Y,-1,-1,
M_ID_7149162139,2118,63,27,-0.05747065,-0.05747065,N,E,E,,inf,3,,inf,6,,inf,12,Y,88,16,1.00000000
M_ID_a31332e0bc,15040,427,27,-0.05747065,-0.05747065,N,E,E,,1.00000000,1,,1.00000000,1,,1.00000000,1,Y,158,15,1.00000000
M_ID_c9eb20f6f5,25449,45,18,-0.05747065,-0.05747065,N,E,E,,1.66666667,3,,1.66666667,3,,1.66666667,3,N,-1,16,1.00000000
M_ID_c9855bf3e3,321,690,1,-0.05747065,-0.05747065,Y,E,E,,1084.00000000,3,,3432.66666667,6,,5236.00000000,12,Y,-1,-1,
M_ID_c929bb59af,9514,2,20,-0.05747065,-0.05747065,N,E,E,69667.00000000,1.00000000,3,69667.00000000,1.00000000,3,69667.00000000,1.00000000,3,N,-1,20,5.00000000
M_ID_dd3ae3de10,30534,278,37,-0.05747065,-0.05747065,N,E,E,5180.00000000,4.00000000,3,9830.00000000,4.16666667,6,15826.00000000,5.60000000,10,Y,11,23,2.00000000
M_ID_dc671140d0,21536,278,37,-0.05747065,-0.05747065,N,E,E,7133.00000000,4.66666667,3,17566.00000000,4.50000000,6,19594.00000000,6.00000000,9,Y,143,5,5.00000000
M_ID_7551d55443,16010,298,10,-0.05747065,-0.05747065,N,E,E,109733.00000000,18.66666667,3,118433.00000000,19.00000000,6,217857.00000000,35.41666667,12,N,282,18,2.00000000
M_ID_a8effe9197,577,497,27,-0.05747065,-0.05747065,N,E,E,3897.00000000,1.33333333,3,2924.00000000,1.25000000,4,2924.00000000,1.25000000,4,N,-1,16,1.00000000
M_ID_39643c7d93,22146,309,21,-0.05747065,-0.05747065,N,E,E,608433.00000000,5.66666667,3,776683.00000000,7.00000000,6,749804.00000000,6.00000000,12,N,-1,16,1.00000000
M_ID_07930b58ae,11559,705,33,-0.05747065,-0.05747065,N,E,E,148515.00000000,76.66666667,3,245840.00000000,134.83333333,6,272061.00000000,151.45454545,11,N,123,19,3.00000000
M_ID_e16b20b50a,35,511,7,-0.05747065,-0.05747065,N,E,E,385833.00000000,148.66666667,3,464184.00000000,183.66666667,6,460206.00000000,184.33333333,9,N,126,4,4.00000000
M_ID_0f0334c393,39020,437,15,-0.05747065,-0.05747065,N,E,E,205863.00000000,3.33333333,3,1513959.00000000,33.66666667,6,2567408.00000000,61.16666667,12,N,272,9,1.00000000
M_ID_2be211b847,35,456,21,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,1,1.00000000,1.00000000,1,1.00000000,1.00000000,1,N,85,8,3.00000000
M_ID_0fa16b39ed,35,781,7,-0.05747065,-0.05747065,N,E,E,44436.00000000,11.33333333,3,93735.00000000,17.50000000,4,93735.00000000,17.50000000,4,N,140,9,1.00000000
M_ID_69618a786a,4760,703,29,-0.05747065,-0.05747065,N,E,E,360107.00000000,20.66666667,3,646764.00000000,37.33333333,6,683700.00000000,39.81818182,11,N,62,9,1.00000000
M_ID_3c87a47f6b,38953,703,29,-0.05747065,-0.05747065,N,E,E,624741.00000000,212.33333333,3,953792.00000000,329.16666667,6,827191.00000000,283.83333333,12,N,60,16,1.00000000
M_ID_c44ccc8110,4274,278,37,-0.05747065,-0.05747065,N,E,E,133863.00000000,66.00000000,3,133859.00000000,67.50000000,4,133859.00000000,67.50000000,4,Y,143,5,5.00000000
M_ID_43265162a8,3303,360,34,-0.05747065,-0.05747065,N,E,E,98382.50000000,65.66666667,3,129103.00000000,81.50000000,6,129103.00000000,81.50000000,6,N,-1,9,1.00000000
M_ID_f76aa241fd,13357,796,10,-0.05747065,-0.05747065,N,E,E,27944.66000000,0.83333333,3,46361.00000000,1.16666667,6,46772.66000000,1.07142857,7,N,63,9,1.00000000
M_ID_dd5589352a,3572,412,18,-0.05747065,-0.05747065,N,E,E,10653.60000000,3.33333333,3,19170.20000000,5.50000000,4,19170.20000000,5.50000000,4,N,-1,1,3.00000000
M_ID_1da47388ba,5219,792,9,-0.05747065,-0.05747065,N,E,E,2833.66000000,0.83333333,3,2472.33000000,0.75000000,6,3907.50000000,0.77777778,9,N,323,2,3.00000000
M_ID_b694de6ca2,3755,278,37,-0.05747065,-0.05747065,N,E,E,201934.57000000,166.00000000,3,222619.71000000,177.83333333,6,229487.00000000,181.83333333,12,N,-1,16,1.00000000
M_ID_eccdaae368,33916,332,2,-0.05747065,-0.05747065,N,E,E,1410.30000000,2.33333333,3,10923.50000000,12.83333333,6,16821.70000000,16.66666667,12,Y,200,18,2.00000000
M_ID_165714925d,18976,80,37,-0.05747065,-0.05747065,N,E,E,508.00000000,2.00000000,3,2196.80000000,6.16666667,6,3699.80000000,9.58333333,12,N,-1,15,1.00000000
M_ID_2b68848488,7500,630,36,-0.05747065,-0.05747065,N,E,E,37670.70000000,33.00000000,3,46795.20000000,31.83333333,6,80074.20000000,30.25000000,12,N,-1,22,4.00000000
M_ID_f3c244b2cf,2390,68,27,-0.05747065,-0.05747065,N,E,E,6231.80000000,2.33333333,3,15543.80000000,8.50000000,6,23668.30000000,12.08333333,12,N,85,8,3.00000000
M_ID_308b2a44b5,1391,278,37,-0.05747065,-0.05747065,N,E,E,2302.30000000,8.33333333,3,3489.90000000,15.16666667,6,3967.50000000,18.22222222,9,N,62,9,1.00000000
M_ID_65f6635308,35,591,7,-0.05747065,-0.05747065,N,E,E,894.00000000,2.33333333,3,1194.55000000,2.16666667,6,1400.30000000,2.00000000,8,N,310,5,5.00000000
M_ID_c5e6e7c15c,24930,606,17,-0.05747065,-0.05747065,N,E,E,2.77000000,1.00000000,2,2.77000000,1.00000000,2,2.77000000,1.00000000,2,Y,69,9,1.00000000
M_ID_68b8fce909,13428,683,34,-0.05747065,-0.05747065,N,E,E,6171.00000000,131.00000000,3,18024.65000000,272.33333333,6,30610.50000000,378.00000000,12,N,239,7,3.00000000
M_ID_a4c58f5e18,15316,891,29,-0.05747065,-0.05747065,N,E,E,2143.65000000,3.83333333,3,3864.32000000,7.91666667,6,5006.75000000,9.16666667,12,N,-1,4,4.00000000
M_ID_71a5e5b256,73467,80,37,-0.05747065,-0.05747065,N,E,E,529.82000000,11.33333333,3,1539.16000000,27.83333333,6,2039.10000000,35.41666667,12,Y,17,22,4.00000000
M_ID_ed66f838a8,4614,560,34,-0.05747065,-0.05747065,N,E,E,1435.00000000,40.66666667,3,2871.16000000,75.50000000,6,2862.36000000,84.50000000,12,N,-1,6,2.00000000
M_ID_ff75e9d86b,61302,80,37,-0.05747065,-0.05747065,N,E,E,3392.66000000,30.00000000,3,2893.26000000,43.50000000,6,2517.70000000,40.62500000,8,N,-1,13,4.00000000
M_ID_0778abe435,633,497,27,-0.05747065,-0.05747065,N,E,E,381.12000000,13.33333333,3,653.62000000,24.80000000,5,653.62000000,24.80000000,5,Y,88,16,1.00000000
M_ID_68d5721729,5670,178,29,-0.05747065,-0.05747065,N,E,E,555.00000000,3.33333333,3,462.50000000,2.66666667,6,435.84000000,2.57142857,7,N,-1,-1,
M_ID_9d97cda876,25730,705,33,-0.05747065,-0.05747065,N,E,E,41.54000000,1.33333333,3,1094.70000000,12.50000000,6,2257.94000000,24.58333333,12,N,-1,18,2.00000000
M_ID_381e74a0fa,55355,222,21,-0.05747065,-0.05747065,N,E,E,5381.96000000,66.66666667,3,7094.16000000,93.50000000,6,5814.92000000,64.66666667,12,Y,4,10,2.00000000
M_ID_b318d50c63,31332,290,19,-0.05747065,-0.05747065,N,E,E,1290.36000000,9.66666667,3,1849.74000000,16.33333333,6,1516.54000000,14.50000000,12,N,-1,13,4.00000000
M_ID_44384f4b59,8533,544,29,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,1,1.00000000,1.00000000,1,1.00000000,1.00000000,1,N,-1,-1,
M_ID_c0b712e11a,35,823,25,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,1,1.00000000,1.00000000,1,1.00000000,1.00000000,1,N,231,9,1.00000000
M_ID_c0b712e11a,35,823,25,-0.00789613,-0.00789613,N,E,E,1.01000000,0.95061728,3,1.01000000,1.09711934,6,1.20000000,1.19074074,12,N,231,9,1.00000000
M_ID_a9f0f0312c,35,692,21,-0.05747065,-0.05747065,N,E,E,374.84000000,3.66666667,3,1350.69000000,7.50000000,6,1284.25000000,7.28571429,7,N,124,24,2.00000000
M_ID_6f92e441fd,22828,705,33,-0.05747065,-0.05747065,N,E,E,261.30000000,13.33333333,3,262.81000000,12.83333333,6,1358.00000000,34.50000000,12,Y,-1,24,2.00000000
M_ID_0e70490eea,21065,779,27,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,1,1.00000000,1.00000000,1,1.00000000,1.00000000,1,Y,69,9,1.00000000
M_ID_027c64385d,4156,80,37,-0.05747065,-0.05747065,N,E,E,200.66000000,14.33333333,3,412.10000000,26.33333333,6,524.54000000,33.75000000,12,N,-1,9,1.00000000
M_ID_7b2407c4d4,32752,33,29,-0.05747065,-0.05747065,N,E,E,90.00000000,1.33333333,3,90.00000000,1.33333333,3,90.00000000,1.33333333,3,N,-1,11,3.00000000
M_ID_4415682868,54613,412,18,-0.05747065,-0.05747065,N,E,E,674.19000000,2.33333333,3,511.26000000,1.66666667,6,464.32000000,1.45454545,11,N,3,16,1.00000000
M_ID_cd16b2265b,36449,432,27,-0.05747065,-0.05747065,N,E,E,1386.66000000,7.33333333,3,3531.54000000,18.80000000,5,3531.54000000,18.80000000,5,N,301,11,3.00000000
M_ID_f90e1f9b80,14537,529,20,-0.05747065,-0.05747065,N,E,E,2309.83000000,1.00000000,3,2309.83000000,1.00000000,3,2309.83000000,1.00000000,3,Y,87,11,3.00000000
M_ID_26aff42d7b,76940,818,12,-0.05747065,-0.05747065,N,E,E,1244.76000000,1.33333333,3,681.08000000,1.33333333,6,598.07000000,1.28571429,7,N,-1,19,3.00000000
M_ID_397da94da4,35,819,25,-0.05747065,-0.05747065,N,E,E,138.00000000,2.00000000,3,320.33000000,2.50000000,6,296.00000000,2.28571429,7,N,-1,14,4.00000000
M_ID_b9e79adfe3,9255,842,37,-0.05747065,-0.05747065,N,E,E,1416.00000000,11.33333333,3,1416.00000000,11.33333333,3,1416.00000000,11.33333333,3,N,186,9,1.00000000
M_ID_49ca2887d2,35405,411,21,-0.05747065,-0.05747065,N,E,E,49.66000000,1.00000000,3,49.66000000,1.00000000,3,49.66000000,1.00000000,3,N,150,5,5.00000000
M_ID_dd68f1d5f5,35,511,7,-0.05747065,-0.05747065,N,E,E,501.20000000,17.66666667,3,809.74000000,29.33333333,6,693.09000000,25.81818182,11,N,-1,19,3.00000000
M_ID_afaaf7c7ef,29480,19,36,-0.05747065,-0.05747065,N,E,E,372.00000000,6.33333333,3,470.50000000,7.50000000,6,489.41000000,9.33333333,12,N,-1,9,1.00000000
M_ID_515ce8d994,48691,427,27,-0.05747065,-0.05747065,N,E,E,239.66000000,4.00000000,3,508.83000000,6.50000000,6,327.00000000,4.50000000,12,N,-1,20,5.00000000
M_ID_c629b6424a,11803,497,27,-0.05747065,-0.05747065,N,E,E,706.00000000,10.66666667,3,1699.65000000,22.33333333,6,1340.98000000,17.75000000,12,Y,69,9,1.00000000
M_ID_5a6b47d965,795,178,29,-0.05747065,-0.05747065,N,E,E,56.66000000,1.33333333,3,472.50000000,5.50000000,6,708.10000000,7.20000000,10,N,156,7,3.00000000
M_ID_66e3f03252,7760,818,12,-0.05747065,-0.05747065,N,E,E,211.00000000,2.00000000,3,927.83000000,6.83333333,6,1360.00000000,11.00000000,12,N,-1,16,1.00000000
M_ID_762f55d6f9,3638,178,29,-0.05747065,-0.05747065,N,E,E,297.66000000,1.33333333,3,560.69000000,2.33333333,6,627.37000000,3.16666667,12,Y,-1,24,2.00000000
M_ID_64eacbe6fd,43601,222,21,-0.05747065,-0.05747065,Y,E,E,36169.11000000,146.33333333,3,55775.50000000,233.00000000,6,58389.45000000,255.44444444,9,Y,-1,-1,
M_ID_7a9a715cf3,35,771,31,-0.05747065,-0.05747065,N,E,E,185.50000000,1.00000000,2,185.50000000,1.00000000,2,185.50000000,1.00000000,2,N,242,9,1.00000000
M_ID_c6521cf2ab,5199,34,38,-0.05747065,-0.05747065,N,E,E,314.33000000,3.00000000,3,499.50000000,4.66666667,6,545.83000000,4.58333333,12,Y,161,3,3.00000000
M_ID_4b97ce3c44,97019,419,1,-0.05747065,-0.05747065,N,E,E,2888.20000000,165.33333333,3,3483.99000000,198.33333333,6,3582.16000000,204.75000000,12,N,209,9,1.00000000
M_ID_87c6ad39e9,35,511,7,-0.05747065,-0.05747065,N,E,E,1267.00000000,2.66666667,3,1465.16000000,2.33333333,6,998.10000000,1.80000000,10,Y,25,7,3.00000000
M_ID_c2b03319b8,8645,884,27,-0.05747065,-0.05747065,N,E,E,111.73000000,3.66666667,3,295.90000000,6.16666667,6,265.19000000,4.16666667,12,N,303,15,1.00000000
M_ID_d4fe0cf345,104851,705,33,-0.05747065,-0.05747065,N,E,E,2235.01000000,96.00000000,3,3248.83000000,142.00000000,6,3377.11000000,145.00000000,7,N,101,4,4.00000000
M_ID_a78ac4612a,4280,184,40,-0.05747065,-0.05747065,N,E,E,1121.16000000,29.66666667,3,2689.91000000,59.83333333,6,3086.34000000,68.08333333,12,N,-1,4,4.00000000
M_ID_1ccef7178b,3666,111,36,-0.05747065,-0.05747065,N,E,E,2964.66000000,4.66666667,3,2507.09000000,4.00000000,5,2507.09000000,4.00000000,5,N,12,5,5.00000000
M_ID_88baeb0ad0,9871,842,37,-0.05747065,-0.05747065,N,E,E,65.33000000,4.00000000,3,331.66000000,14.33333333,6,606.35000000,26.58333333,12,N,-1,9,1.00000000
M_ID_b30bff5f32,32529,222,21,-0.05747065,-0.05747065,N,E,E,1160.72000000,14.00000000,3,746.66000000,14.83333333,6,639.96000000,17.25000000,12,N,147,19,3.00000000
M_ID_f497d53f52,99675,434,32,-0.05747065,-0.05747065,N,E,E,1382.66000000,2.33333333,3,11570.75000000,16.00000000,6,23596.87000000,39.25000000,12,N,44,5,5.00000000
M_ID_91d6f8bc7c,11071,356,21,-0.05747065,-0.05747065,N,E,E,1069.00000000,2.66666667,3,2775.44000000,3.83333333,6,3659.34000000,5.25000000,12,N,254,15,1.00000000
M_ID_e048c826f3,239,278,37,-0.05747065,-0.05747065,N,E,E,472.32000000,18.33333333,3,632.88000000,22.83333333,6,950.15000000,35.77777778,9,N,58,4,4.00000000
M_ID_d38a11b8aa,34538,278,37,-0.05747065,-0.05747065,N,E,E,5.96000000,1.00000000,3,46.71000000,2.66666667,6,409.62000000,20.00000000,12,Y,69,9,1.00000000
M_ID_79086409d0,1654,278,37,-0.05747065,-0.05747065,N,E,E,2086.27000000,37.66666667,3,3302.97000000,54.66666667,6,3445.68000000,57.00000000,12,N,-1,16,1.00000000
M_ID_97c4b37e6d,64008,560,34,-0.05747065,-0.05747065,N,E,E,917.07000000,80.66666667,3,917.07000000,80.66666667,3,917.07000000,80.66666667,3,Y,143,5,5.00000000
M_ID_a8c963779b,6679,367,16,-0.05747065,-0.05747065,N,E,E,1.00000000,1.00000000,3,1059.79000000,52.66666667,6,2837.01000000,125.41666667,12,N,32,16,1.00000000
M_ID_1cc4597b6c,2991,373,18,-0.05747065,-0.05747065,N,E,E,997.00000000,2.33333333,3,3031.00000000,4.66666667,6,3096.09000000,5.63636364,11,N,124,24,2.00000000
M_ID_7092d34e7f,75977,631,25,-0.05747065,-0.05747065,N,E,E,676.96000000,8.66666667,3,1084.18000000,13.20000000,5,1084.18000000,13.20000000,5,N,-1,3,3.00000000
M_ID_c24666f783,39634,573,25,-0.05747065,-0.05747065,N,E,E,175.00000000,10.33333333,3,396.53000000,20.50000000,6,631.00000000,34.25000000,8,Y,69,9,1.00000000
M_ID_34fa262f1b,9311,332,2,-0.05747065,-0.05747065,N,E,E,909.05000000,4.66666667,3,815.77000000,4.66666667,6,1284.42000000,7.25000000,12,N,-1,13,4.00000000
M_ID_2eb9354a1b,80860,652,7,-0.05747065,-0.05747065,N,E,E,237.33000000,1.33333333,3,265.50000000,1.25000000,4,265.50000000,1.25000000,4,Y,53,20,5.00000000
M_ID_ff06cc4157,18451,703,29,-0.05747065,-0.05747065,N,E,E,621.45000000,3.33333333,3,425.98000000,3.33333333,6,381.28000000,4.58333333,12,N,-1,9,1.00000000
M_ID_7fe7b31e09,35,690,1,-0.05747065,-0.05747065,N,E,E,11960.55000000,21.08333333,3,11960.55000000,21.08333333,3,11960.55000000,21.08333333,3,N,231,9,1.00000000
M_ID_f0015e3444,72912,669,18,-0.05747065,-0.05747065,N,E,E,108.17000000,1.33333333,3,697.78000000,1.50000000,6,1113.80000000,2.75000000,12,Y,69,9,1.00000000
M_ID_c81a320c56,51005,705,33,-0.05747065,-0.05747065,N,E,E,73.85000000,2.00000000,3,54.60000000,3.00000000,6,63.75000000,2.54545455,11,N,-1,16,1.00000000
M_ID_eca0094cad,27920,222,21,-0.05747065,-0.05747065,N,E,E,3112.96000000,55.33333333,3,4164.10000000,80.33333333,6,6144.03000000,102.50000000,12,N,96,9,1.00000000
M_ID_1a1b004633,7638,278,37,-0.05747065,-0.05747065,N,E,E,15.30000000,1.00000000,3,314.20000000,11.83333333,6,523.90000000,20.58333333,12,Y,143,5,5.00000000
M_ID_988c53a309,26562,842,37,-0.05747065,-0.05747065,N,E,E,722.47000000,48.66666667,3,974.97000000,63.83333333,6,1577.19000000,85.41666667,12,N,-1,9,1.00000000
M_ID_b2042b0887,8433,683,34,-0.05747065,-0.05747065,N,E,E,129.04000000,4.66666667,3,1440.71000000,29.33333333,6,1973.60000000,45.75000000,12,Y,4,10,2.00000000
M_ID_d6e593c17e,6667,560,34,-0.05747065,-0.05747065,N,E,E,14.31000000,3.00000000,3,378.69000000,56.66666667,6,922.52000000,130.75000000,12,N,-1,9,1.00000000
M_ID_ef67d8d241,21744,531,27,-0.05747065,-0.05747065,N,E,E,20.33000000,1.66666667,3,87.40000000,3.83333333,6,163.26000000,7.09090909,11,N,-1,12,1.00000000
M_ID_0a37dc490c,57865,195,34,-0.05747065,-0.05747065,N,E,E,25.70000000,6.66666667,3,48.58000000,12.33333333,6,54.07000000,13.25000000,8,Y,143,5,5.00000000
M_ID_a14209cbfa,4399,63,27,-0.05747065,-0.05747065,N,E,E,44.33000000,2.33333333,3,323.14000000,8.16666667,6,383.47000000,9.91666667,12,N,213,9,1.00000000
M_ID_561cade500,57349,130,41,-0.05747065,-0.05747065,N,E,E,445.81000000,14.00000000,3,1109.30000000,23.66666667,6,1389.98000000,28.10000000,10,N,-1,9,1.00000000
M_ID_589caea08e,35973,560,34,-0.05747065,-0.05747065,N,E,E,276.89000000,38.33333333,3,574.69000000,104.83333333,6,556.94000000,116.16666667,12,Y,143,5,5.00000000
M_ID_0039220eb3,35,836,5,-0.05747065,-0.05747065,Y,E,E,0.66000000,0.66666667,3,0.66000000,0.66666667,3,0.66000000,0.66666667,3,Y,-1,-1,
M_ID_0039220eb3,35,836,5,0.40852985,0.40852985,Y,C,D,1.17000000,1.10964912,3,1.17000000,1.08793860,6,1.19000000,0.99702120,12,Y,-1,-1,
M_ID_fcfcbb019c,36797,367,16,-0.05747065,-0.05747065,N,E,E,2.50000000,1.33333333,3,25.82000000,4.66666667,6,57.60000000,8.41666667,12,Y,17,22,4.00000000
M_ID_6ea0c80423,13525,278,37,-0.05747065,-0.05747065,N,E,E,172.25000000,42.33333333,3,298.09000000,74.80000000,5,298.09000000,74.80000000,5,Y,69,9,1.00000000
M_ID_653dd18b75,30544,63,27,-0.05747065,-0.05747065,N,E,E,869.66000000,13.00000000,3,627.58000000,9.33333333,6,675.52000000,9.16666667,12,N,123,19,3.00000000
M_ID_89e163f85a,8278,367,16,-0.05747065,-0.05747065,N,E,E,130.67000000,4.00000000,3,170.49000000,5.33333333,6,217.82000000,8.66666667,12,N,-1,12,1.00000000
M_ID_2b9c8aeda6,42648,412,18,-0.05747065,-0.05747065,N,E,E,561.26000000,23.00000000,3,1050.99000000,32.16666667,6,1092.06000000,34.00000000,8,N,214,16,1.00000000
M_ID_a43d703dad,38,637,37,-0.05747065,-0.05747065,N,E,E,95.23000000,6.33333333,3,198.70000000,9.50000000,6,232.02000000,11.00000000,12,N,-1,16,1.00000000
M_ID_0cb2f07f8a,258,884,27,-0.05747065,-0.05747065,N,E,E,929.58000000,11.66666667,3,1458.17000000,15.66666667,6,1558.16000000,15.91666667,12,N,125,16,1.00000000
M_ID_7bc14f5c9c,22458,19,36,-0.05747065,-0.05747065,N,E,E,14.66000000,1.66666667,3,71.03000000,3.00000000,6,57.56000000,2.25000000,12,N,-1,5,5.00000000
M_ID_3bcc8acb14,1281,45,18,-0.05747065,-0.05747065,N,E,E,36.31000000,3.00000000,3,336.59000000,16.33333333,6,556.56000000,26.08333333,12,N,229,15,1.00000000
M_ID_94c8362295,27575,705,33,-0.05747065,-0.05747065,N,E,E,21.27000000,6.00000000,3,84.98000000,13.66666667,6,347.42000000,42.40000000,10,N,168,9,1.00000000
M_ID_9249848972,11311,278,37,-0.05747065,-0.05747065,N,E,E,501.01000000,48.66666667,3,416.95000000,40.50000000,6,543.34000000,53.91666667,12,Y,158,15,1.00000000
M_ID_54d58666dd,11167,705,33,-0.05747065,-0.05747065,N,E,E,70.25000000,11.33333333,3,92.93000000,15.16666667,6,108.61000000,15.90909091,11,N,-1,9,1.00000000
M_ID_ed18577744,2536,670,32,-0.05747065,-0.05747065,N,E,E,416.78000000,3.00000000,3,416.78000000,3.00000000,3,416.78000000,3.00000000,3,Y,69,9,1.00000000
M_ID_54e354d16a,44687,307,19,-0.05747065,-0.05747065,N,E,E,892.65000000,59.33333333,3,2489.87000000,148.50000000,6,3178.95000000,175.83333333,12,N,-1,5,5.00000000
M_ID_029c93d183,2361,215,21,-0.05747065,-0.05747065,N,E,E,23.83000000,3.33333333,3,93.87000000,9.33333333,6,96.76000000,10.27272727,11,N,-1,16,1.00000000
M_ID_aefa3ea8f7,2057,222,21,-0.05747065,-0.05747065,N,E,E,51.22000000,2.33333333,3,106.67000000,3.60000000,5,106.67000000,3.60000000,5,Y,30,17,3.00000000
M_ID_8b750605c4,35,387,36,-0.05747065,-0.05747065,N,E,E,57.88000000,4.33333333,3,127.62000000,8.00000000,6,107.57000000,6.91666667,12,N,204,24,2.00000000

